Authors;Title;Year;Source title;DOI;Link;Affiliations;Authors with affiliations;TIPO PESQUISA;INTERESSANTE?;Abstract;Author Keywords;Correspondence Address;Publisher;ISSN;ISBN;CODEN;PubMed ID;Language of Original Document;Abbreviated Source Title;EID;;;;;;;;;;;;;;;;;;;;;;
Alizadeh R., Lund P.D., Beynaghi A., Abolghasemi M., Maknoon R.;An integrated scenario-based robust planning approach for foresight and strategic management with application to energy industry;2016;Technological Forecasting and Social Change;10.1016/j.techfore.2015.11.030;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958767199&doi=10.1016%2fj.techfore.2015.11.030&partnerID=40&md5=5965668bde5f4fb7da3ac8586ac79f01;"Technology Foresight Group, Department of Management, Science and Technology, Amirkabir University of Technology, Tehran, Iran; Office of Sustainabilty, Amirkabir University of Technolgy, Tehran, Iran; Futures Studies Research Institute, Amirkabir University of Technology, Tehran, Iran; Aalto University, School of Science, P.O. Box 14100, Aalto, Espoo, FI-00076, Finland; Escuela Técnica Superior de Ingenieros Industriales, Universidad Politecnica de Madrdid, Spain";"Alizadeh, R., Technology Foresight Group, Department of Management, Science and Technology, Amirkabir University of Technology, Tehran, Iran, Office of Sustainabilty, Amirkabir University of Technolgy, Tehran, Iran, Futures Studies Research Institute, Amirkabir University of Technology, Tehran, Iran; Lund, P.D., Aalto University, School of Science, P.O. Box 14100, Aalto, Espoo, FI-00076, Finland; Beynaghi, A., Technology Foresight Group, Department of Management, Science and Technology, Amirkabir University of Technology, Tehran, Iran, Office of Sustainabilty, Amirkabir University of Technolgy, Tehran, Iran, Futures Studies Research Institute, Amirkabir University of Technology, Tehran, Iran; Abolghasemi, M., Escuela Técnica Superior de Ingenieros Industriales, Universidad Politecnica de Madrdid, Spain; Maknoon, R., Technology Foresight Group, Department of Management, Science and Technology, Amirkabir University of Technology, Tehran, Iran, Office of Sustainabilty, Amirkabir University of Technolgy, Tehran, Iran";;;"Energy industries face major future challenges related to environment, security, and economics. Here we present a scenario-building framework based on the Global Business Network (GBN) method to help energy industries to develop more resilient conservation policies when faced with unpredictable and external uncertainties. The approach combines several foresight methods such as Delphi; Political, Economical, Social, and Technological (PEST) analysis, and Cross-Impact Analysis (CIA). In addition, a strategic foresight software program (MICMAC) was applied in the scenario-building phase. The proposed integrated scenario-based robust planning approach builds on the strengths of traditional scenario planning, but overcomes its weaknesses by offering a systematic process for scenario creation and easy implementation. The outcome of this approach is a limited range of core strategies. We use Iran as the case for a more detailed application of the method. Foreign investments in the energy industry, external economic sanctions, and the domestic energy consumption growth were found as the key drivers and critical uncertainties in the Iranian energy industry. Three scenarios based on these critical uncertainties and expert information were developed: Technology-driven, Stagnation, and Self-sufficiency scenario. For these scenarios, a range of robust strategies was determined. National energy efficiency and productivity increases emerged as the key factors for robustness. The main macro-level result was that economic and political drivers will be the most important factors for Iran's energy futures followed by technological and social factors. © 2015 Elsevier Inc.";"Energy; Foresight; Iran; Robust planning; Scenario; Strategy";"Alizadeh, R.; Technology Foresight Group, Department of Management, Science and Technology, Amirkabir University of TechnologyIran";Elsevier Inc.;401625;;;;English;Technol. Forecast. Soc. Change;2-s2.0-84958767199;;;;;;;;;;;;;;;;;;;;;;
Miloyan B., Bulley A., Suddendorf T.;Episodic foresight and anxiety: Proximate and ultimate perspectives;2016;British Journal of Clinical Psychology;10.1111/bjc.12080;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959144154&doi=10.1111%2fbjc.12080&partnerID=40&md5=eccf6342ca677ea2189bc377b4d410e4;University of Queensland, Brisbane, QLD  4067, Australia;"Miloyan, B., University of Queensland, Brisbane, QLD  4067, Australia; Bulley, A., University of Queensland, Brisbane, QLD  4067, Australia; Suddendorf, T., University of Queensland, Brisbane, QLD  4067, Australia";;;Objective In this paper, we examine the relationship between episodic foresight and anxiety from an evolutionary perspective, proposing that together they confer an advantage for modifying present moment decision-making and behaviour in the light of potential future threats to fitness. Methods We review the body of literature on the role of episodic foresight in anxiety, from both proximate and ultimate perspectives. Results We propose that anxious feelings associated with episodic simulation of possible threat-related future events serve to imbue these simulations with motivational currency. Episodic and semantic details of a future threat may be insufficient for motivating its avoidance, but anxiety associated with a simulation can provoke adaptive threat management. As such, we detail how anxiety triggered by a self-generated, threat-related future simulation prepares the individual to manage that threat (in terms of its likelihood and/or consequences) over greater temporal distances than observed in other animals. We then outline how anxiety subtypes may represent specific mechanisms for predicting and managing particular classes of fitness threats. Conclusions This approach offers an inroad for understanding the nature of characteristic future thinking patterns in anxiety disorders and serves to illustrate the adaptive function of the mechanism from which clinical anxiety deviates. © 2015 The British Psychological Society.;"anxiety disorders; delay discounting; episodic foresight; evolution; foresight biases; mental time travel; prospection; worry";"Bulley, A.; University of QueenslandAustralia; email: adam.bulley@uqconnect.edu.au";John Wiley and Sons Ltd.;1446657;;BJCPD;25777789;English;Br. J. Clin. Psychol.;2-s2.0-84959144154;;;;;;;;;;;;;;;;;;;;;;
Cavalli F., Naimzada A.;Expectation formation in an overlapping generation model with production;2016;Chaos;10.1063/1.4942798;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959568197&doi=10.1063%2f1.4942798&partnerID=40&md5=10720dd27ea104e781ddbf54ce56df03;Department of Economics, Management and Statistics, University of Milano-Bicocca, U6 Building, Piazza dell'Ateneo Nuovo 1, Milano, 20126, Italy;"Cavalli, F., Department of Economics, Management and Statistics, University of Milano-Bicocca, U6 Building, Piazza dell'Ateneo Nuovo 1, Milano, 20126, Italy; Naimzada, A., Department of Economics, Management and Statistics, University of Milano-Bicocca, U6 Building, Piazza dell'Ateneo Nuovo 1, Milano, 20126, Italy";;;In this paper, we investigate the dynamic properties of an overlapping generations' model with capital accumulation, in which agents work in both periods of life. We compare three different expectation mechanisms: Perfect foresight, myopic foresight, and adaptive expectations, focusing, in particular, on this last one. We show that the steady state is the same under each mechanism, and we prove its global stability for perfectly foresighted agents. After investigating local stability conditions under myopic expectations, we study in detail the case of adaptive expectations. We show that, under both reduced rationality mechanisms, if the share of time devoted to labor in the second period of life is large enough, periodic and complex dynamics can occur. Moreover, deepening the investigation through numerical simulations, we study the global stability behavior under adaptive expectations. Such complex scenarios also include the coexistence between the stable steady state and a periodic or chaotic attractor, giving rise to multistability, which does not arise under myopic expectations. Finally, we provide some considerations about the possibility for the agents to improve their forecasts by observing the forecasting error time series. © 2016 AIP Publishing LLC.;;;American Institute of Physics Inc.;10541500;;;;English;Chaos;2-s2.0-84959568197;;;;;;;;;;;;;;;;;;;;;;
Bulley A., Henry J., Suddendorf T.;Prospection and the present moment: The role of episodic foresight in intertemporal choices between immediate and delayed rewards;2016;Review of General Psychology;10.1037/gpr0000061;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954456756&doi=10.1037%2fgpr0000061&partnerID=40&md5=b343bbd0515fcf5fa83ca51d0895db7d;School of Psychology, The University of Queensland, Australia;"Bulley, A., School of Psychology, The University of Queensland, Australia; Henry, J., School of Psychology, The University of Queensland, Australia; Suddendorf, T., School of Psychology, The University of Queensland, Australia";;;Humans are capable of imagining future rewards and the contexts in which they may be obtained. Functionally, intertemporal choices between smaller but immediate and larger but delayed rewards may be made without such episodic foresight. However, we propose that explicit simulations of this sort enable more flexible and adaptive intertemporal decision-making. Emotions triggered through the simulation of future situations can motivate people to forego immediate pleasures in the pursuit of long-term rewards. However, we stress that the most adaptive option need not always be a larger later reward. When the future is anticipated to be uncertain, for instance, it may make sense for preferences to shift toward more immediate rewards, instead. Imagining potential future scenarios and assessment of their likelihood and affective consequences allows humans to determine when it is more adaptive to delay gratification in pursuit of a larger later reward, and when the better strategy is to indulge in a present temptation. We discuss clinical studies that highlight when and how the effect of episodic foresight on intertemporal decision-making can be altered, and consider the relevance of this perspective to understanding the nature of self-control. © 2016 American Psychological Association.;"Delay discounting; Episodic foresight; Evolution; Intertemporal choice; Prospection";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De Matteis T., Mencagli G.;Keep calm and react with foresight: Strategies for low-latency and energy-efficient elastic data stream processing;2016;Proceedings of the ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming, PPOPP;10.1145/2851141.2851148;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963752273&doi=10.1145%2f2851141.2851148&partnerID=40&md5=6c7a4c315e28cb9a8ba2432b0a428b86;Department of Computer Science, University of Pisa, Largo B. Pontecorvo 3, Pisa, I-56127, Italy;"De Matteis, T., Department of Computer Science, University of Pisa, Largo B. Pontecorvo 3, Pisa, I-56127, Italy; Mencagli, G., Department of Computer Science, University of Pisa, Largo B. Pontecorvo 3, Pisa, I-56127, Italy";;;This paper addresses the problem of designing scaling strategies for elastic data stream processing. Elasticity allows applications to rapidly change their configuration on-the-fly (e.g., the amount of used resources) in response to dynamic workload fluctuations. In this work we face this problem by adopting the Model Predictive Control technique, a control-theoretic method aimed at finding the optimal application configuration along a limited prediction hori-zon in the future by solving an online optimization problem. Our control strategies are designed to address latency constraints, using Queueing Theory models, and energy consumption by changing the number of used cores and the CPU frequency through the Dynamic Voltage and Frequency Scaling (DVFS) support available in the modern multicore CPUs. The proactive capabilities, in addition to the latency-and energy-awareness, represent the novel features of our approach. To validate our methodology, we develop a thorough set of experiments on a high-frequency trading application. The re-sults demonstrate the high-degree of flexibility and configurability of our approach, and show the effectiveness of our elastic scaling strategies compared with existing state-of-the-art techniques used in similar scenarios. © 2016 ACM.;"Data Stream Processing; DVFS; Elasticity; Model Predictive Control; Multicore Programming";;Association for Computing Machinery;;9,78E+12;;;English;Proc ACM SIGPLAN Symp Prins Pract Parall Program PPOPP;2-s2.0-84963752273;;;;;;;;;;;;;;;;;;;;;;
Shamsuddin S.M., Hasan S.;Data science vs big data @ UTM big data centre;2016;Proceedings - 2015 International Conference on Science in Information Technology: Big Data Spectrum for Future Information Economy, ICSITech 2015;10.1109/ICSITech.2015.7407766;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966521156&doi=10.1109%2fICSITech.2015.7407766&partnerID=40&md5=f21e654036907e02304d4c5f8fd403c0;"UTM Big Data Centre, Ibnu Sina Institute for Scientific and Industrial Research, Universiti Teknologi Malaysia, Skudai Johor, 81310, Malaysia; Faculty of Computing, Universiti Teknologi Malaysia, Skudai Johor, 81310, Malaysia";"Shamsuddin, S.M.; Hasan, S., UTM Big Data Centre, Ibnu Sina Institute for Scientific and Industrial Research, Universiti Teknologi Malaysia, Skudai Johor, 81310, Malaysia, Faculty of Computing, Universiti Teknologi Malaysia, Skudai Johor, 81310, Malaysia";;;Big data tsunami has hit Malaysia recently that has awakening the industry and academy communities to aggressively address the insight, hindsight and foresight challenges ensuring Malaysia to be among the top world players in big data information economy for the next decade. Rapid development of Information and Communication Technology (ICT) in this era is very significant due to increasing number of users accessing data keeps growing by the time. This phenomenon has been coined as big data. What is Big data We address big data as assets that needs unique platform to deal with bizarre behavior of datasets whose size is beyond the ability of typical data storage to manage, mine and analyze accordingly. This bizarre behavior requires three main personalities: volume, velocity, and variety that basically need new architecture, techniques, algorithms, and analytics to uncover the golden and hidden knowledge from information obesity. From these perspectives, we demonstrate our experiences in setting up our Data Science/Big Data platform, algorithms and tool to align with big data plug and play within the academic environment as well as our services to the community and industries. © 2015 IEEE.;"big data; big data analytics & platform; data scienc";"Hasan, S.; UTM Big Data Centre, Ibnu Sina Institute for Scientific and Industrial Research, Universiti Teknologi MalaysiaMalaysia; email: shafaatunnur@utm.my";Institute of Electrical and Electronics Engineers Inc.;;9,78E+12;;;English;Proc. - Int. Conf. Sci. Inf. Technol.: Big Data Spectr. Future Inf. Econ., ICSITech;2-s2.0-84966521156;;;;;;;;;;;;;;;;;;;;;;
Özdemir V., Kolker E.;Precision Nutrition 4.0: A Big Data and Ethics Foresight Analysis-Convergence of Agrigenomics, Nutrigenomics, Nutriproteomics, and Nutrimetabolomics;2016;OMICS A Journal of Integrative Biology;10.1089/omi.2015.0193;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958605333&doi=10.1089%2fomi.2015.0193&partnerID=40&md5=e13b88d59ed4d7abfdea9b0d87784a19;"Faculty of Communications and Office of the President, International Technology and Innovation Policy, Gaziantep University, Gaziantep, 27300, Turkey; Amrita School of Biotechnology, Amrita Vishwa Vidyapeetham, Amrita University, Amritapuri, Kollam, Kerala, India; Data-Enabled Life Sciences Alliance (DELSA Global), Seattle, WA, United States; CDO Analytics, Seattle Children's, Seattle, WA, United States; Departments of Biomedical Informatics and Medical Education and Pediatrics, University of Washington, Seattle, WA, United States; Department of Chemistry and Chemical Biology, College of Science, Northeastern University, Boston, MA, United States";"Özdemir, V., Faculty of Communications and Office of the President, International Technology and Innovation Policy, Gaziantep University, Gaziantep, 27300, Turkey, Amrita School of Biotechnology, Amrita Vishwa Vidyapeetham, Amrita University, Amritapuri, Kollam, Kerala, India, Data-Enabled Life Sciences Alliance (DELSA Global), Seattle, WA, United States; Kolker, E., Data-Enabled Life Sciences Alliance (DELSA Global), Seattle, WA, United States, CDO Analytics, Seattle Children's, Seattle, WA, United States, Departments of Biomedical Informatics and Medical Education and Pediatrics, University of Washington, Seattle, WA, United States, Department of Chemistry and Chemical Biology, College of Science, Northeastern University, Boston, MA, United States";;;Nutrition is central to sustenance of good health, not to mention its role as a cultural object that brings together or draws lines among societies. Undoubtedly, understanding the future paths of nutrition science in the current era of Big Data remains firmly on science, technology, and innovation strategy agendas around the world. Nutrigenomics, the confluence of nutrition science with genomics, brought about a new focus on and legitimacy for 'variability science' (i.e., the study of mechanisms of person-To-person and population differences in response to food, and the ways in which food variably impacts the host, for example, nutrient-related disease outcomes). Societal expectations, both public and private, and claims over genomics-guided and individually-Tailored precision diets continue to proliferate. While the prospects of nutrition science, and nutrigenomics in particular, are established, there is a need to integrate the efforts in four Big Data domains that are naturally allied-agrigenomics, nutrigenomics, nutriproteomics, and nutrimetabolomics-that address complementary variability questions pertaining to individual differences in response to food-related environmental exposures. The joint use of these four omics knowledge domains, coined as Precision Nutrition 4.0 here, has sadly not been realized to date, but the potentials for such integrated knowledge innovation are enormous. Future personalized nutrition practices would benefit from a seamless planning of life sciences funding, research, and practice agendas from 'farm to clinic to supermarket to society,' and from 'genome to proteome to metabolome.' Hence, this innovation foresight analysis explains the already existing potentials waiting to be realized, and suggests ways forward for innovation in both technology and ethics foresight frames on precision nutrition. We propose the creation of a new Precision Nutrition Evidence Barometer for periodic, independent, and ongoing retrieval, screening, and aggregation of the relevant life sciences data. For innovation in Big Data ethics oversight, we suggest 'nested governance' wherein the processes of knowledge production are made transparent in the continuum from life sciences and social sciences to humanities, and where each innovation actor reports to another accountability and transparency layer: scientists to ethicists, and ethicists to scholars in the emerging field of ethics-of-ethics. Such nested innovation ecosystems offer safety against innovation blind spots, calibrate visible/invisible power differences in the cultures of science or ethics, and ultimately, reducing the risk of 'paper values'-what people say-and 'real values'-what innovation actors actually do. We are optimistic that the convergence of nutrigenomics with nutriproteomics, nutrimetabolomics, and agrigenomics can build a robust, sustainable, and trustworthy precision nutrition 4.0 agenda, as articulated in this Big Data and ethics foresight analysis. © Copyright 2016, Mary Ann Liebert, Inc. 2016.;;"Özdemir, V.; Faculty of Communications and Office of the President, International Technology and Innovation Policy, Gaziantep UniversityTurkey; email: OJIB@liebertpub.com";Mary Ann Liebert Inc.;15362310;;OMICA;26785082;English;OMICS J. Integr. Biol.;2-s2.0-84958605333;;;;;;;;;;;;;;;;;;;;;;
Hansen M.S., Rasmussen L.B., Jacobsen P.;Interactive foresight simulation;2016;Technological Forecasting and Social Change;10.1016/j.techfore.2015.10.011;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949009059&doi=10.1016%2fj.techfore.2015.10.011&partnerID=40&md5=3d0e6ccce689bbca8571cf6ed1ecfa92;"DTU Management Engineering, Technical University of Denmark, Diplomvej Bygning 372, Kgs., Lyngby, 2800, Denmark; DTU Management Engineering, Technical University of Denmark, Produktionstorvet Bygning 424, Kgs., Lyngby, 2800, Denmark";"Hansen, M.S., DTU Management Engineering, Technical University of Denmark, Diplomvej Bygning 372, Kgs., Lyngby, 2800, Denmark; Rasmussen, L.B., DTU Management Engineering, Technical University of Denmark, Diplomvej Bygning 372, Kgs., Lyngby, 2800, Denmark; Jacobsen, P., DTU Management Engineering, Technical University of Denmark, Produktionstorvet Bygning 424, Kgs., Lyngby, 2800, Denmark";;;The Combined Simulation Approach (CSA) is a way to evaluate risks and address potential unforeseen problems in a more interactive way than what is often observed in practice in companies or sectors. The approach is based on a combination of scenario analysis and discrete-event computer simulation with which the strategies can be continuously developed. The contribution of this paper is to narrow the knowledge gap between strategic, tactical and operational levels of an organization. The paper demonstrates how it is possible to work proactively with both the breadth and depth of strategies using a Danish knowledge intensive company as an example. © 2015 Elsevier Inc.;"Backsourcing; Foresight; Narrative simulation; Numerical simulation; Scenario building; Strategy";"Hansen, M.S.; DTU Management Engineering, Technical University of Denmark, Diplomvej Bygning 372, Kgs., Denmark; email: mesa@dtu.dk";Elsevier Inc.;401625;;;;English;Technol. Forecast. Soc. Change;2-s2.0-84949009059;;;;;;;;;;;;;;;;;;;;;;
Park H., Sohn B.;Long-term perspective on the stock market matters in asset pricing;2016;Finance Research Letters;10.1016/j.frl.2015.10.022;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962502558&doi=10.1016%2fj.frl.2015.10.022&partnerID=40&md5=6f737927c5c7ed4fba960f847a11bdd6;"Department of Finance, Korea University Business School, Korea University, 145 Anam-Ro, Seongbuk-Gu, Seoul, 02841, South Korea; Department of Finance, HSBC Business School, Peking University, University Town, Nanshan District, Shenzhen, 518055, China";"Park, H., Department of Finance, HSBC Business School, Peking University, University Town, Nanshan District, Shenzhen, 518055, China; Sohn, B., Department of Finance, Korea University Business School, Korea University, 145 Anam-Ro, Seongbuk-Gu, Seoul, 02841, South Korea";;;We provide a more intuitive interpretation of Campbell's (1993) intertemporal capital asset pricing model. In this model, investors' long-term perspective on the stock market matters and the revision on the perspective becomes a pricing factor. We construct this factor series from out-of-sample forecasts and it allows us to avoid the perfect foresight problem of the VAR factor model and to deal with on-going debate on the return predictability. Our empirical results suggest that the innovation factor is strongly and robustly priced across assets and has close relationship with the momentum and liquidity factors. © 2015 Elsevier Inc.;"Cross-section of equity returns; ICAPM; Long-horizon market return";"Sohn, B.; Department of Finance, Korea University Business School, Korea University, 145 Anam-Ro, South Korea; email: sohnb@korea.ac.kr";Elsevier Ltd;15446123;;;;English;Finan. Res. Lett.;2-s2.0-84962502558;;;;;;;;;;;;;;;;;;;;;;
Von Plate M.;Big data analytics for prognostic foresight;2016;Society of Petroleum Engineers - SPE Intelligent Energy International Conference and Exhibition;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995466232&partnerID=40&md5=b6b28f4f200bd22e18a39a885d8d1448;Cassantec AG, Switzerland;Von Plate, M., Cassantec AG, Switzerland;;;"Objectives/Scope: With the rise of big data analytics in petroleum engineering, a plethora of data collectors, sensors, transmission devices, and software tools is entering our lives at the personal and professional levels. Data is extracted, transferred, processed, and utilized - be it from wearable devices, refrigerators, or motorcycles. It also spans areas such as public facilities, transportation networks, and major industrial assets. In the sphere of petroleum asset management data analytics is certainly not a new concept. For decades, equipment condition data has been explored and exploited. Internal data networks, repositories, and historians, along with the condition monitoring, predictive diagnostics, and performance optimization applications show a long tradition of utilizing data to gain useful insight. Methods, Procedures, Process: Current asset management technologies can identify what is going on, where, why there are challenges, and how they can be resolved. Yet, new prognostic analytics emphasizes data-driven forecasts addressing ""when"" questions, such as ""When will my compressor have a malfunction?"". Presently, such forecasts have no real proxy in petroleum asset management. The questions ""When will my bearing fail?"", ""When is my last chance for plant revision?"", and ""When will turbine replacement be cheaper than refurbishment?"" are widely asked but rarely answered. Results, Observations, Conclusions: We will review herein which major challenges prognostics faces in the petroleum industry sphere, how they are currently being resolved, and what benefits can be achieved. We present, in addition, a detailed example of an application of prognostics in a petrochemical manufacturing plant. Condition and process data of a cracked gas compressor is utilized to generate remaining useful life distributions and future malfunction risk profiles. The main objective of the operator is to reduce both downtime and maintenance costs. © Copyright 2016, Society of Petroleum Engineers.";;"Von Plate, M.; Cassantec AGSwitzerland";Society of Petroleum Engineers;;9,78E+12;;;English;Soc. Pet. Eng. - SPE Intell. Energy Int. Conf. Exhib.;2-s2.0-84995466232;;;;;;;;;;;;;;;;;;;;;;
Ghasemaghaei M., Ebrahimi S., Hassanein K.;Generating valuable insights through data analytics: A moderating effects model;2016;2016 International Conference on Information Systems, ICIS 2016;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019452421&partnerID=40&md5=f2cf08d00fe6fd33c24d330e0704d2bc;McMaster University, Hamilton, Canada;"Ghasemaghaei, M., McMaster University, Hamilton, Canada; Ebrahimi, S., McMaster University, Hamilton, Canada; Hassanein, K., McMaster University, Hamilton, Canada";;;The business insights that could be generated through the use of data analytics is one of the key motivations for firms to invest in such technologies. However, there is limited understanding of the required conditions for these tools to increase valuable insight generation. This research-in-progress study draws on the gestalt theory of insight and resource-based view of the firm to investigate the role of data analytics in generating valuable insights within organizations and the factors that influence this process. Particularly, this study focuses on how the bigness of data (i.e., volume, variety, and velocity), quality of data, and employees' competency (i.e., analytical skills, and domain knowledge) impact insight generation (i.e., data hindsight, data insight, and data foresight) through the use of data analytics. A survey-based methodology is outlined to empirically validate the proposed model using structural equation modeling techniques. Potential contributions to theory and practice are also discussed.;"Bigness of data; Data analytics; Employee competency; Quality of data; Valuable insight generation";;Association for Information Systems;;9,78E+12;;;English;Int. Conf. Inf. Syst., ICIS;2-s2.0-85019452421;;;;;;;;;;;;;;;;;;;;;;
[No author name available];Society of Petroleum Engineers - SPE Intelligent Energy International Conference and Exhibition;2016;Society of Petroleum Engineers - SPE Intelligent Energy International Conference and Exhibition;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995485088&partnerID=40&md5=fe2bf568e70d71024e46b5a8041df9c2;;;;;"The proceedings contain 79 papers. The topics discussed include: application of artificial intelligence in oilfield operation and intervention; automated procedures - a new way of improving efficiency and safety; automatic performance analysis and estimation of risk level embedded in drilling operation plans; big data analytics for prognostic foresight as drivers for drilling automation; a case study on remotely operated intelligent bridge plugs for plug and abandonment operations; CiSoft and smart oilfield technologies; and drawdown control: a platform for safeguarding and optimizing production.";;;Society of Petroleum Engineers;;9,78E+12;;;English;Soc. Pet. Eng. - SPE Intell. Energy Int. Conf. Exhib.;2-s2.0-84995485088;;;;;;;;;;;;;;;;;;;;;;
Snøtun H.;Using data to create foresight and create value from volume;2016;Society of Petroleum Engineers - SPE Western Regional Meeting;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978471949&partnerID=40&md5=592c51a330bab6a36bf80dbf9e1284c1;AGR Software, Norway;Snøtun, H., AGR Software, Norway;;;With the recent downturn in oil price, more of the fields in the arctic seem less financially viable and many projects have been postponed, or altogether abandoned. In an industry where companies are unable to change the market price and cost becomes the main differentiator, projects in the arctic have added worries because of an inhospitable climate, lack of infrastructure and severe environmental concerns. This means that companies have to plan better, but also plan differently in the arctic in order to stay competitive. All planning should be data driven with a focus on learning from past experiences and projects, but how one handles data determines how much value can be extracted from volume, and how much insight and foresight one can expect. We have found that there are four main obstacles to using data effectively. Firstly, it can be hard to find the correct data, but even more importantly, it can be hard to determine what data is missing. By some estimates, geologists use 60% of their time looking for data and less than 20% looking for oil. Secondly, even though a lot of data is sometimes available, the data might not be accessible, and a lot of time is lost in planning from converting esoteric formats, different units of measure and a plethora of curve values. The third obstacle to use data is that the context for the data might be missing, which is even more important in the arctic, because it might be hard to determine if experiences obtained in one area can be transferred to arctic projects. Finally, data is often aggregated before the planning stage it might hard because of time constraints to investigate whether anomalies in the data is caused by error in the data or outliers that can add risk or cost to the project. We will show how efficient use of Big Data techniques and statistical analysis can mediate the effects mentioned above, and how normalization and standardization of data can allow users to spend their time interpreting data. Although the use of data does not eliminate risk, it can help manage it by identifying which risks should be focused on, but also identify where the project moves into uncharted territory in terms of equipment, location, rig or other factors. Copyright 2016, Society of Petroleum Engineers.;;"Snøtun, H.; AGR SoftwareNorway";Society of Petroleum Engineers;;9,78E+12;;;English;Soc. Pet. Eng. - SPE West. Reg. Meet.;2-s2.0-84978471949;;;;;;;;;;;;;;;;;;;;;;
Mavris D.N., Balchanos M., Sung W., Pinon O.J.;A data mining and visual analytics perspective on sustainability-oriented infrastructure planning;2016;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);10.1007/978-3-319-40973-3_33;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007586940&doi=10.1007%2f978-3-319-40973-3_33&partnerID=40&md5=95fc4a8e62f89c901ed3088cd9b253b7;School of Aerospace Engineering, Georgia Institute of Technology, 270 Ferst Drive, Atlanta, GA  30332-0150, United States;"Mavris, D.N., School of Aerospace Engineering, Georgia Institute of Technology, 270 Ferst Drive, Atlanta, GA  30332-0150, United States; Balchanos, M., School of Aerospace Engineering, Georgia Institute of Technology, 270 Ferst Drive, Atlanta, GA  30332-0150, United States; Sung, W., School of Aerospace Engineering, Georgia Institute of Technology, 270 Ferst Drive, Atlanta, GA  30332-0150, United States; Pinon, O.J., School of Aerospace Engineering, Georgia Institute of Technology, 270 Ferst Drive, Atlanta, GA  30332-0150, United States";;;The research presented in this paper focuses on developing a multi-scale, integrated environment that supports situational awareness, optimization, as well as forecasting and virtual experimentation at the campus level. One of the key features of this research is its ability to extend beyond the common data-driven load-forecasting exercise and integrate System-of-Systems (SoS) level predictive capabilities to enable the aforementioned functionalities. FORESIGHT, an interactive campus data browser designed to handle any visual analytics tasks on real-time data streams is presented. © Springer International Publishing Switzerland 2016.;"Cyber-physical systems; Data-driven modeling; Infrastructure planning; Large-scale systems integration; Predictive modeling; Sustainability; Visual analytics";"Pinon, O.J.; School of Aerospace Engineering, Georgia Institute of Technology, 270 Ferst Drive, United States; email: olivia.pinon@asdl.gatech.edu";Springer Verlag;3029743;;;;English;Lect. Notes Comput. Sci.;2-s2.0-85007586940;;;;;;;;;;;;;;;;;;;;;;
Luen W.K., Hooi C.M.;In search of Malaysian companies with successful implementation of business intelligence initiatives;2016;Proceedings of the International Conference on Industrial Engineering and Operations Management;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018770945&partnerID=40&md5=f645d811af9a76c6201c32f3d58c6aef;Universiti Tunku Abdul Rahman, Perak Campus, Malaysia;"Luen, W.K., Universiti Tunku Abdul Rahman, Perak Campus, Malaysia; Hooi, C.M., Universiti Tunku Abdul Rahman, Perak Campus, Malaysia";;;The next big phenomenon within the operations management discipline would be the big data economy. The phenomenon concerns the availability and accessibility of large stream of data from diverse sources including those from social media networks. Analyzing these data provides foresights and insights for better decision making. This paper attempts to identify those business organizations that have committed substantial investments in information technology (IT) and business intelligence (BI) initiatives and are able to take advantage of the resultant knowledge and insights due to successful implementation of BI initiatives. Data were collected from 132 larger scale business organizations from Malaysia. The results indicated that larger organizations in terms of sales revenue, number of employees employed, and number of IT/BI employees employed tend to be more successful in BI initiatives implementation (measured in terms of BI maturity level). There was also correlation between duration of BI implementation and BI maturity level, although we did not find significant difference in BI maturity level between the types of industry. © IEOM Society International. © IEOM Society International.;"BI initiative implementation; Business intelligence; Data analytics; Maturity level";"Luen, W.K.; Universiti Tunku Abdul Rahman, Perak Campus, Malaysia; email: wongkl@utar.edu.my";IEOM Society;21698767;9,78E+12;;;English;Proc. Int. Conf. Ind. Eng. Oper. Manage.;2-s2.0-85018770945;;;;;;;;;;;;;;;;;;;;;;
